source,relation,target,kind
ACT.domestic_garden.hydroponics,SUBTYPE_OF,ACT.domestic_garden,parent
ACT.domestic_garden.pet_keeping,SUBTYPE_OF,ACT.domestic_garden,parent
ACT.domestic_garden.preserving_canning,SUBTYPE_OF,ACT.domestic_garden,parent
ACT.domestic_garden.terrarium_vivarium,SUBTYPE_OF,ACT.domestic_garden,parent
ACT.domestic_garden.vegetable_growing,SUBTYPE_OF,ACT.domestic_garden,parent
ACT.domestic_garden.vegetable_growing,RELATED_TO,OCC.agriculture,explicit
ACT.domestic_garden.vegetable_growing.allotment_gardening,SUBTYPE_OF,ACT.domestic_garden.vegetable_growing,parent
ACT.domestic_garden.wine_tasting,SUBTYPE_OF,ACT.domestic_garden,parent
ACT.extreme_sports,SUBTYPE_OF,ACTIVITIES,parent
ACT.extreme_sports.base_jumping,SUBTYPE_OF,ACT.extreme_sports,parent
ACT.extreme_sports.bmx,SUBTYPE_OF,ACT.extreme_sports,parent
ACT.extreme_sports.bmx,OVERLAPS_WITH,SPORT.extreme_sports,explicit
ACT.extreme_sports.bungee_jumping,SUBTYPE_OF,ACT.extreme_sports,parent
ACT.extreme_sports.cliff_diving,SUBTYPE_OF,ACT.extreme_sports,parent
ACT.extreme_sports.dirt_biking,SUBTYPE_OF,ACT.extreme_sports,parent
ACT.extreme_sports.freerunning,SUBTYPE_OF,ACT.extreme_sports,parent
ACT.extreme_sports.freestyle_skiing,SUBTYPE_OF,ACT.extreme_sports,parent
ACT.extreme_sports.hang_gliding,SUBTYPE_OF,ACT.extreme_sports,parent
ACT.extreme_sports.inline_skating,SUBTYPE_OF,ACT.extreme_sports,parent
ACT.extreme_sports.kitesurfing,SUBTYPE_OF,ACT.extreme_sports,parent
ACT.extreme_sports.longboarding,SUBTYPE_OF,ACT.extreme_sports,parent
ACT.extreme_sports.motocross,SUBTYPE_OF,ACT.extreme_sports,parent
ACT.extreme_sports.motocross,OVERLAPS_WITH,SPORT.extreme_sports,explicit
ACT.extreme_sports.paragliding,SUBTYPE_OF,ACT.extreme_sports,parent
ACT.extreme_sports.paramotoring,SUBTYPE_OF,ACT.extreme_sports,parent
ACT.extreme_sports.parkour,SUBTYPE_OF,ACT.extreme_sports,parent
ACT.extreme_sports.skateboarding,SUBTYPE_OF,ACT.extreme_sports,parent
ACT.extreme_sports.skateboarding,OVERLAPS_WITH,SPORT.extreme_sports,explicit
ACT.extreme_sports.skateboarding,RELATED_TO,OCC.sports,explicit
ACT.extreme_sports.skydiving,SUBTYPE_OF,ACT.extreme_sports,parent
ACT.extreme_sports.snowboarding,SUBTYPE_OF,ACT.extreme_sports,parent
ACT.extreme_sports.snowboarding,OVERLAPS_WITH,SPORT.extreme_sports,explicit
ACT.extreme_sports.snowkiting,SUBTYPE_OF,ACT.extreme_sports,parent
ACT.extreme_sports.snowmobiling,SUBTYPE_OF,ACT.extreme_sports,parent
ACT.extreme_sports.surfing,SUBTYPE_OF,ACT.extreme_sports,parent
ACT.extreme_sports.surfing,OVERLAPS_WITH,SPORT.extreme_sports,explicit
ACT.extreme_sports.surfing.bodyboarding,SUBTYPE_OF,ACT.extreme_sports.surfing,parent
ACT.extreme_sports.wakeboarding,SUBTYPE_OF,ACT.extreme_sports,parent
ACT.extreme_sports.water_skiing,SUBTYPE_OF,ACT.extreme_sports,parent
ACT.extreme_sports.windsurfing,SUBTYPE_OF,ACT.extreme_sports,parent
ACT.extreme_sports.wingsuit_flying,SUBTYPE_OF,ACT.extreme_sports,parent
ACT.extreme_sports.ziplining,SUBTYPE_OF,ACT.extreme_sports,parent
ACT.fandom_collecting,SUBTYPE_OF,ACTIVITIES,parent
ACT.fandom_collecting.antique_collecting,SUBTYPE_OF,ACT.fandom_collecting,parent
ACT.fandom_collecting.art_collecting,SUBTYPE_OF,ACT.fandom_collecting,parent
ACT.fandom_collecting.book_collecting,SUBTYPE_OF,ACT.fandom_collecting,parent
ACT.fandom_collecting.coin_collecting,SUBTYPE_OF,ACT.fandom_collecting,parent
ACT.fandom_collecting.comic_book_collecting,SUBTYPE_OF,ACT.fandom_collecting,parent
ACT.fandom_collecting.conventions,SUBTYPE_OF,ACT.fandom_collecting,parent
ACT.fandom_collecting.conventions,RELATED_TO,ind.hospitality_tourism,explicit
ACT.fandom_collecting.conventions.anime_conventions,SUBTYPE_OF,ACT.fandom_collecting.conventions,parent
ACT.fandom_collecting.conventions.comic_conventions,SUBTYPE_OF,ACT.fandom_collecting.conventions,parent
ACT.fandom_collecting.conventions.sci_fi_conventions,SUBTYPE_OF,ACT.fandom_collecting.conventions,parent
ACT.fandom_collecting.cosplay,SUBTYPE_OF,ACT.fandom_collecting,parent
ACT.fandom_collecting.cosplay,RELATED_TO,OCC.arts,explicit
ACT.fandom_collecting.cosplay,RELATED_TO,ACT.making_craft.cosplay_prop_making,explicit
ACT.fandom_collecting.diecast_model_collecting,SUBTYPE_OF,ACT.fandom_collecting,parent
ACT.fandom_collecting.fandom,SUBTYPE_OF,ACT.fandom_collecting,parent
ACT.fandom_collecting.fandom.fan_clubs,SUBTYPE_OF,ACT.fandom_collecting.fandom,parent
ACT.fandom_collecting.film_buff,SUBTYPE_OF,ACT.fandom_collecting,parent
ACT.fandom_collecting.idol_culture,SUBTYPE_OF,ACT.fandom_collecting,parent
ACT.fandom_collecting.memorabilia_collecting,SUBTYPE_OF,ACT.fandom_collecting,parent
ACT.fandom_collecting.memorabilia_collecting.autograph_collecting,SUBTYPE_OF,ACT.fandom_collecting.memorabilia_collecting,parent
ACT.fandom_collecting.memorabilia_collecting.sports_memorabilia,SUBTYPE_OF,ACT.fandom_collecting.memorabilia_collecting,parent
ACT.fandom_collecting.militaria_collecting,SUBTYPE_OF,ACT.fandom_collecting,parent
ACT.fandom_collecting.poster_collecting,SUBTYPE_OF,ACT.fandom_collecting,parent
ACT.fandom_collecting.rock_mineral_collecting,SUBTYPE_OF,ACT.fandom_collecting,parent
ACT.fandom_collecting.sneaker_collecting,SUBTYPE_OF,ACT.fandom_collecting,parent
ACT.fandom_collecting.sports_fandom,SUBTYPE_OF,ACT.fandom_collecting,parent
ACT.fandom_collecting.stamp_collecting,SUBTYPE_OF,ACT.fandom_collecting,parent
ACT.fandom_collecting.toy_collecting,SUBTYPE_OF,ACT.fandom_collecting,parent
ACT.fandom_collecting.toy_collecting,RELATED_TO,ind.retail_trade,explicit
ACT.fandom_collecting.toy_collecting.action_figure_collecting,SUBTYPE_OF,ACT.fandom_collecting.toy_collecting,parent
ACT.fandom_collecting.trading_card_collecting,SUBTYPE_OF,ACT.fandom_collecting,parent
ACT.fandom_collecting.vinyl_record_collecting,SUBTYPE_OF,ACT.fandom_collecting,parent
ACT.fandom_collecting.watch_collecting,SUBTYPE_OF,ACT.fandom_collecting,parent
ACT.gaming,SUBTYPE_OF,ACTIVITIES,parent
ACT.gaming.arcade_gaming,SUBTYPE_OF,ACT.gaming,parent
ACT.gaming.board_gaming,SUBTYPE_OF,ACT.gaming,parent
ACT.gaming.board_gaming,OVERLAPS_WITH,SPORT.board_games,explicit
ACT.gaming.board_gaming,OVERLAPS_WITH,ART.games,explicit
ACT.gaming.card_gaming,SUBTYPE_OF,ACT.gaming,parent
ACT.gaming.card_gaming,RELATED_TO,SPORT.board_games,explicit
ACT.gaming.card_gaming.trading_card_game_play,SUBTYPE_OF,ACT.gaming.card_gaming,parent
ACT.gaming.escape_rooms,SUBTYPE_OF,ACT.gaming,parent
ACT.gaming.esports_spectating,SUBTYPE_OF,ACT.gaming,parent
ACT.gaming.esports_spectating,OVERLAPS_WITH,SPORT.esports,explicit
ACT.gaming.game_modding,SUBTYPE_OF,ACT.gaming,parent
ACT.gaming.game_modding,RELATED_TO,HK.computer_science,explicit
ACT.gaming.game_modding,RELATED_TO,ACT.online_communities.modding_communities,explicit
ACT.gaming.homebrew_game_development,SUBTYPE_OF,ACT.gaming,parent
ACT.gaming.homebrew_game_development,RELATED_TO,OCC.it_computing,explicit
ACT.gaming.interactive_fiction,SUBTYPE_OF,ACT.gaming,parent
ACT.gaming.lan_parties,SUBTYPE_OF,ACT.gaming,parent
ACT.gaming.larp,SUBTYPE_OF,ACT.gaming,parent
ACT.gaming.pinball,SUBTYPE_OF,ACT.gaming,parent
ACT.gaming.puzzle_hobby,SUBTYPE_OF,ACT.gaming,parent
ACT.gaming.puzzle_hobby.crossword_puzzles,SUBTYPE_OF,ACT.gaming.puzzle_hobby,parent
ACT.gaming.puzzle_hobby.jigsaw_puzzles,SUBTYPE_OF,ACT.gaming.puzzle_hobby,parent
ACT.gaming.speedrunning,SUBTYPE_OF,ACT.gaming,parent
ACT.gaming.speedrunning,RELATED_TO,SPORT.esports,explicit
ACT.gaming.tabletop_rpg,SUBTYPE_OF,ACT.gaming,parent
ACT.gaming.tabletop_rpg,OVERLAPS_WITH,ART.games,explicit
ACT.gaming.video_gaming,SUBTYPE_OF,ACT.gaming,parent
ACT.gaming.video_gaming,RELATED_TO,SPORT.esports,explicit
ACT.gaming.video_gaming,RELATED_TO,ind.media_entertainment,explicit
ACT.gaming.video_gaming.console_gaming,SUBTYPE_OF,ACT.gaming.video_gaming,parent
ACT.gaming.video_gaming.mobile_gaming,SUBTYPE_OF,ACT.gaming.video_gaming,parent
ACT.gaming.video_gaming.pc_gaming,SUBTYPE_OF,ACT.gaming.video_gaming,parent
ACT.gaming.video_gaming.retro_gaming,SUBTYPE_OF,ACT.gaming.video_gaming,parent
ACT.making_craft,SUBTYPE_OF,ACTIVITIES,parent
ACT.making_craft.3d_printing,SUBTYPE_OF,ACT.making_craft,parent
ACT.making_craft.3d_printing,RELATED_TO,ind.manufacturing,explicit
ACT.making_craft.blacksmithing_hobby,SUBTYPE_OF,ACT.making_craft,parent
ACT.making_craft.blacksmithing_hobby,RELATED_TO,OCC.trades,explicit
ACT.making_craft.bookbinding,SUBTYPE_OF,ACT.making_craft,parent
ACT.making_craft.candle_soap_making,SUBTYPE_OF,ACT.making_craft,parent
ACT.making_craft.cosplay_prop_making,SUBTYPE_OF,ACT.making_craft,parent
ACT.making_craft.diy_home_improvement,SUBTYPE_OF,ACT.making_craft,parent
ACT.making_craft.diy_home_improvement,RELATED_TO,ind.retail_trade,explicit
ACT.making_craft.diy_home_improvement.furniture_restoration,SUBTYPE_OF,ACT.making_craft.diy_home_improvement,parent
ACT.making_craft.embroidery,SUBTYPE_OF,ACT.making_craft,parent
ACT.making_craft.embroidery,OVERLAPS_WITH,ART.craft,explicit
ACT.making_craft.embroidery.cross_stitch,SUBTYPE_OF,ACT.making_craft.embroidery,parent
ACT.making_craft.embroidery.needlepoint,SUBTYPE_OF,ACT.making_craft.embroidery,parent
ACT.making_craft.felting,SUBTYPE_OF,ACT.making_craft,parent
ACT.making_craft.jewelry_making,SUBTYPE_OF,ACT.making_craft,parent
ACT.making_craft.jewelry_making,OVERLAPS_WITH,ART.craft,explicit
ACT.making_craft.jewelry_making.beadwork,SUBTYPE_OF,ACT.making_craft.jewelry_making,parent
ACT.making_craft.knitting_crochet,SUBTYPE_OF,ACT.making_craft,parent
ACT.making_craft.knitting_crochet,OVERLAPS_WITH,ART.craft,explicit
ACT.making_craft.knitting_crochet.crochet,SUBTYPE_OF,ACT.making_craft.knitting_crochet,parent
ACT.making_craft.knitting_crochet.knitting,SUBTYPE_OF,ACT.making_craft.knitting_crochet,parent
ACT.making_craft.leatherworking,SUBTYPE_OF,ACT.making_craft,parent
ACT.making_craft.macrame,SUBTYPE_OF,ACT.making_craft,parent
ACT.making_craft.miniatures,SUBTYPE_OF,ACT.making_craft,parent
ACT.making_craft.miniatures.dollhouse_miniatures,SUBTYPE_OF,ACT.making_craft.miniatures,parent
ACT.making_craft.miniatures.miniature_painting,SUBTYPE_OF,ACT.making_craft.miniatures,parent
ACT.making_craft.model_building,SUBTYPE_OF,ACT.making_craft,parent
ACT.making_craft.model_building,RELATED_TO,ind.retail_trade,explicit
ACT.making_craft.model_building.diorama_building,SUBTYPE_OF,ACT.making_craft.model_building,parent
ACT.making_craft.model_building.model_aircraft,SUBTYPE_OF,ACT.making_craft.model_building,parent
ACT.making_craft.model_building.model_railroading,SUBTYPE_OF,ACT.making_craft.model_building,parent
ACT.making_craft.model_building.scale_modeling,SUBTYPE_OF,ACT.making_craft.model_building,parent
ACT.making_craft.mosaic_art,SUBTYPE_OF,ACT.making_craft,parent
ACT.making_craft.papercraft,SUBTYPE_OF,ACT.making_craft,parent
ACT.making_craft.papercraft.card_making,SUBTYPE_OF,ACT.making_craft.papercraft,parent
ACT.making_craft.papercraft.scrapbooking,SUBTYPE_OF,ACT.making_craft.papercraft,parent
ACT.making_craft.pottery_ceramics,SUBTYPE_OF,ACT.making_craft,parent
ACT.making_craft.pottery_ceramics,OVERLAPS_WITH,ART.craft,explicit
ACT.making_craft.pottery_ceramics.hand_building,SUBTYPE_OF,ACT.making_craft.pottery_ceramics,parent
ACT.making_craft.pottery_ceramics.wheel_throwing,SUBTYPE_OF,ACT.making_craft.pottery_ceramics,parent
ACT.making_craft.pyrography,SUBTYPE_OF,ACT.making_craft,parent
ACT.making_craft.resin_casting,SUBTYPE_OF,ACT.making_craft,parent
ACT.making_craft.sewing_quilting,SUBTYPE_OF,ACT.making_craft,parent
ACT.making_craft.sewing_quilting.quilting,SUBTYPE_OF,ACT.making_craft.sewing_quilting,parent
ACT.making_craft.spinning_yarn,SUBTYPE_OF,ACT.making_craft,parent
ACT.making_craft.stained_glass,SUBTYPE_OF,ACT.making_craft,parent
ACT.making_craft.upcycling,SUBTYPE_OF,ACT.making_craft,parent
ACT.making_craft.wargaming,SUBTYPE_OF,ACT.making_craft,parent
ACT.making_craft.wargaming,RELATED_TO,ART.games,explicit
ACT.making_craft.wargaming,RELATED_TO,ACT.gaming.board_gaming,explicit
ACT.making_craft.weaving,SUBTYPE_OF,ACT.making_craft,parent
ACT.making_craft.woodworking,SUBTYPE_OF,ACT.making_craft,parent
ACT.making_craft.woodworking,OVERLAPS_WITH,ART.craft,explicit
ACT.making_craft.woodworking,RELATED_TO,OCC.trades,explicit
ACT.making_craft.woodworking.wood_carving,SUBTYPE_OF,ACT.making_craft.woodworking,parent
ACT.making_craft.woodworking.woodturning,SUBTYPE_OF,ACT.making_craft.woodworking,parent
ACT.online_communities,SUBTYPE_OF,ACTIVITIES,parent
ACT.online_communities.citizen_journalism,SUBTYPE_OF,ACT.online_communities,parent
ACT.online_communities.citizen_journalism,RELATED_TO,OCC.media,explicit
ACT.online_communities.citizen_mapping,SUBTYPE_OF,ACT.online_communities,parent
ACT.online_communities.crowdsourcing,SUBTYPE_OF,ACT.online_communities,parent
ACT.online_communities.fan_translation,SUBTYPE_OF,ACT.online_communities,parent
ACT.online_communities.fan_wikis,SUBTYPE_OF,ACT.online_communities,parent
ACT.online_communities.forums_communities,SUBTYPE_OF,ACT.online_communities,parent
ACT.online_communities.hobbyist_clubs,SUBTYPE_OF,ACT.online_communities,parent
ACT.online_communities.makerspaces,SUBTYPE_OF,ACT.online_communities,parent
ACT.online_communities.meme_culture,SUBTYPE_OF,ACT.online_communities,parent
ACT.online_communities.modding_communities,SUBTYPE_OF,ACT.online_communities,parent
ACT.online_communities.online_gaming_clans,SUBTYPE_OF,ACT.online_communities,parent
ACT.online_communities.open_source_contribution,SUBTYPE_OF,ACT.online_communities,parent
ACT.online_communities.open_source_contribution,RELATED_TO,OCC.it_computing,explicit
ACT.online_communities.open_source_contribution,RELATED_TO,HK.computer_science,explicit
ACT.online_communities.qa_communities,SUBTYPE_OF,ACT.online_communities,parent
ACT.online_communities.wikimedia_editing,SUBTYPE_OF,ACT.online_communities,parent
ACT.outdoor_adventure,SUBTYPE_OF,ACTIVITIES,parent
ACT.outdoor_adventure.backcountry_skiing,SUBTYPE_OF,ACT.outdoor_adventure,parent
ACT.outdoor_adventure.camping,SUBTYPE_OF,ACT.outdoor_adventure,parent
ACT.outdoor_adventure.camping,RELATED_TO,ind.hospitality_tourism,explicit
ACT.outdoor_adventure.camping.car_camping,SUBTYPE_OF,ACT.outdoor_adventure.camping,parent
ACT.outdoor_adventure.camping.tent_camping,SUBTYPE_OF,ACT.outdoor_adventure.camping,parent
ACT.outdoor_adventure.camping.wild_camping,SUBTYPE_OF,ACT.outdoor_adventure.camping,parent
ACT.outdoor_adventure.canyoning,SUBTYPE_OF,ACT.outdoor_adventure,parent
ACT.outdoor_adventure.caving,SUBTYPE_OF,ACT.outdoor_adventure,parent
ACT.outdoor_adventure.exploration,SUBTYPE_OF,ACT.outdoor_adventure,parent
ACT.outdoor_adventure.exploration.expeditioning,SUBTYPE_OF,ACT.outdoor_adventure.exploration,parent
ACT.outdoor_adventure.exploration.urban_exploration,SUBTYPE_OF,ACT.outdoor_adventure.exploration,parent
ACT.outdoor_adventure.geocaching,SUBTYPE_OF,ACT.outdoor_adventure,parent
ACT.outdoor_adventure.hiking_trekking,SUBTYPE_OF,ACT.outdoor_adventure,parent
ACT.outdoor_adventure.hiking_trekking,RELATED_TO,ind.hospitality_tourism,explicit
ACT.outdoor_adventure.hiking_trekking,RELATED_TO,ACT.physical_recreation.running_jogging.trail_running,explicit
ACT.outdoor_adventure.hiking_trekking.backpacking,SUBTYPE_OF,ACT.outdoor_adventure.hiking_trekking,parent
ACT.outdoor_adventure.hiking_trekking.day_hiking,SUBTYPE_OF,ACT.outdoor_adventure.hiking_trekking,parent
ACT.outdoor_adventure.hiking_trekking.thru_hiking,SUBTYPE_OF,ACT.outdoor_adventure.hiking_trekking,parent
ACT.outdoor_adventure.kayaking_canoeing,SUBTYPE_OF,ACT.outdoor_adventure,parent
ACT.outdoor_adventure.mountaineering,SUBTYPE_OF,ACT.outdoor_adventure,parent
ACT.outdoor_adventure.mountaineering,OVERLAPS_WITH,SPORT.extreme_sports,explicit
ACT.outdoor_adventure.orienteering,SUBTYPE_OF,ACT.outdoor_adventure,parent
ACT.outdoor_adventure.peak_bagging,SUBTYPE_OF,ACT.outdoor_adventure,parent
ACT.outdoor_adventure.rock_climbing,SUBTYPE_OF,ACT.outdoor_adventure,parent
ACT.outdoor_adventure.rock_climbing.aid_climbing,SUBTYPE_OF,ACT.outdoor_adventure.rock_climbing,parent
ACT.outdoor_adventure.rock_climbing.bouldering,SUBTYPE_OF,ACT.outdoor_adventure.rock_climbing,parent
ACT.outdoor_adventure.rock_climbing.ice_climbing,SUBTYPE_OF,ACT.outdoor_adventure.rock_climbing,parent
ACT.outdoor_adventure.rock_climbing.sport_climbing,SUBTYPE_OF,ACT.outdoor_adventure.rock_climbing,parent
ACT.outdoor_adventure.rock_climbing.traditional_climbing,SUBTYPE_OF,ACT.outdoor_adventure.rock_climbing,parent
ACT.outdoor_adventure.scuba_diving,SUBTYPE_OF,ACT.outdoor_adventure,parent
ACT.outdoor_adventure.scuba_diving.free_diving,SUBTYPE_OF,ACT.outdoor_adventure.scuba_diving,parent
ACT.outdoor_adventure.scuba_diving.snorkeling,SUBTYPE_OF,ACT.outdoor_adventure.scuba_diving,parent
ACT.outdoor_adventure.snowshoeing,SUBTYPE_OF,ACT.outdoor_adventure,parent
ACT.outdoor_adventure.survival_skills,SUBTYPE_OF,ACT.outdoor_adventure,parent
ACT.outdoor_adventure.via_ferrata,SUBTYPE_OF,ACT.outdoor_adventure,parent
ACT.outdoor_adventure.whitewater_rafting,SUBTYPE_OF,ACT.outdoor_adventure,parent
ACT.outdoor_adventure.wildlife_watching,SUBTYPE_OF,ACT.outdoor_adventure,parent
ACT.performing_social,SUBTYPE_OF,ACTIVITIES,parent
ACT.performing_social.amateur_magic,SUBTYPE_OF,ACT.performing_social,parent
