id,name,name_en,name_zh,type,parent,level,universe,description,historical,global
ACT.creative_hobbies.creative_writing,Creative Writing,Creative Writing,创意写作,ACTIVITY,ACT.creative_hobbies,2,ACTIVITIES,"Writing fiction, poetry, and personal essays for artistic expression.",0,1
ACT.creative_hobbies.creative_writing.fiction_writing,Fiction Writing,Fiction Writing,小说创作,ACTIVITY,ACT.creative_hobbies.creative_writing,3,ACTIVITIES,Writing novels and short stories of imagined characters and events.,0,1
ACT.creative_hobbies.creative_writing.poetry_writing,Poetry Writing,Poetry Writing,诗歌创作,ACTIVITY,ACT.creative_hobbies.creative_writing,3,ACTIVITIES,"Composing poems with attention to rhythm, imagery, and form.",0,1
ACT.creative_hobbies.creative_writing.screenwriting,Screenwriting,Screenwriting,剧本创作,ACTIVITY,ACT.creative_hobbies.creative_writing,3,ACTIVITIES,"Writing scripts for film, television, and other screen media.",0,1
ACT.creative_hobbies.digital_sculpting,Digital Sculpting,Digital Sculpting,数字雕刻,ACTIVITY,ACT.creative_hobbies,2,ACTIVITIES,Sculpting three-dimensional digital models for art and printing.,0,1
ACT.creative_hobbies.drawing_painting,Drawing & Painting,Drawing & Painting,绘画,ACTIVITY,ACT.creative_hobbies,2,ACTIVITIES,Creating two-dimensional artworks with drawing and painting media.,0,1
ACT.creative_hobbies.drawing_painting.digital_painting,Digital Painting,Digital Painting,数字绘画,ACTIVITY,ACT.creative_hobbies.drawing_painting,3,ACTIVITIES,Painting images using a tablet and digital painting software.,0,1
ACT.creative_hobbies.drawing_painting.oil_painting,Oil Painting,Oil Painting,油画,ACTIVITY,ACT.creative_hobbies.drawing_painting,3,ACTIVITIES,Painting with slow-drying pigments suspended in oil.,0,1
ACT.creative_hobbies.drawing_painting.sketching,Sketching,Sketching,速写,ACTIVITY,ACT.creative_hobbies.drawing_painting,3,ACTIVITIES,"Making quick freehand drawings to observe, plan, or record.",0,1
ACT.creative_hobbies.drawing_painting.urban_sketching,Urban Sketching,Urban Sketching,城市速写,ACTIVITY,ACT.creative_hobbies.drawing_painting,3,ACTIVITIES,Drawing scenes on location in cities and towns.,0,1
ACT.creative_hobbies.drawing_painting.watercolor_painting,Watercolor Painting,Watercolor Painting,水彩画,ACTIVITY,ACT.creative_hobbies.drawing_painting,3,ACTIVITIES,Painting with water-soluble pigments on paper.,0,1
ACT.creative_hobbies.fan_art,Fan Art,Fan Art,同人艺术,ACTIVITY,ACT.creative_hobbies,2,ACTIVITIES,Creating artwork depicting characters and scenes from existing media.,0,1
ACT.creative_hobbies.fan_fiction,Fan Fiction,Fan Fiction,同人小说,ACTIVITY,ACT.creative_hobbies,2,ACTIVITIES,Writing original stories featuring characters and settings from existing works.,0,1
ACT.creative_hobbies.graphic_design_hobby,Graphic Design Hobby,Graphic Design Hobby,平面设计爱好,ACTIVITY,ACT.creative_hobbies,2,ACTIVITIES,"Designing posters, logos, and layouts for personal and community projects.",0,1
ACT.creative_hobbies.journaling,Journaling,Journaling,手账与日记,ACTIVITY,ACT.creative_hobbies,2,ACTIVITIES,"Keeping personal diaries, bullet journals, and art journals.",0,1
ACT.creative_hobbies.music_making,Music Making,Music Making,音乐创作,ACTIVITY,ACT.creative_hobbies,2,ACTIVITIES,"Composing, recording, and producing original music at home.",0,1
ACT.creative_hobbies.music_making.beatmaking,Beatmaking,Beatmaking,节拍制作,ACTIVITY,ACT.creative_hobbies.music_making,3,ACTIVITIES,"Programming rhythmic instrumental backing tracks, often for hip-hop.",0,1
ACT.creative_hobbies.music_making.electronic_music_production,Electronic Music Production,Electronic Music Production,电子音乐制作,ACTIVITY,ACT.creative_hobbies.music_making,3,ACTIVITIES,"Creating music with synthesizers, samplers, and digital audio workstations.",0,1
ACT.creative_hobbies.music_making.home_recording,Home Recording,Home Recording,家庭录音,ACTIVITY,ACT.creative_hobbies.music_making,3,ACTIVITIES,Recording and mixing music in a home or project studio.,0,1
ACT.creative_hobbies.music_making.songwriting,Songwriting,Songwriting,歌曲创作,ACTIVITY,ACT.creative_hobbies.music_making,3,ACTIVITIES,Writing original lyrics and melodies for songs.,0,1
ACT.creative_hobbies.pixel_art,Pixel Art,Pixel Art,像素画,ACTIVITY,ACT.creative_hobbies,2,ACTIVITIES,"Creating images by placing individual pixels, often for retro game aesthetics.",0,1
ACT.creative_hobbies.podcasting_hobby,Podcasting Hobby,Podcasting Hobby,播客制作,ACTIVITY,ACT.creative_hobbies,2,ACTIVITIES,Producing and publishing audio episodes on personal interests.,0,1
ACT.creative_hobbies.streaming,Streaming,Streaming,直播,ACTIVITY,ACT.creative_hobbies,2,ACTIVITIES,"Broadcasting live gameplay, art, or conversation to an online audience.",0,1
ACT.creative_hobbies.streaming.game_streaming,Game Streaming,Game Streaming,游戏直播,ACTIVITY,ACT.creative_hobbies.streaming,3,ACTIVITIES,Broadcasting live video-game play with commentary.,0,1
ACT.creative_hobbies.vlogging,Vlogging,Vlogging,视频博客,ACTIVITY,ACT.creative_hobbies,2,ACTIVITIES,Creating and sharing video diaries and lifestyle videos online.,0,1
ACT.creative_hobbies.webcomic_creation,Webcomic Creation,Webcomic Creation,网络漫画创作,ACTIVITY,ACT.creative_hobbies,2,ACTIVITIES,Drawing and publishing serialized comics online.,0,1
ACT.domestic_garden,Domestic & Garden,Domestic & Garden,居家与园艺,ACTIVITY,ACTIVITIES,1,ACTIVITIES,"Home-centred hobbies of cultivation, food preparation, animal keeping, and self-sufficiency.",0,1
ACT.domestic_garden.aquarium_keeping,Aquarium Keeping,Aquarium Keeping,水族饲养,ACTIVITY,ACT.domestic_garden,2,ACTIVITIES,Maintaining home aquariums of fish and aquatic life.,0,1
ACT.domestic_garden.aquarium_keeping.freshwater_aquarium,Freshwater Aquarium,Freshwater Aquarium,淡水水族,ACTIVITY,ACT.domestic_garden.aquarium_keeping,3,ACTIVITIES,Keeping freshwater fish and plants in home tanks.,0,1
ACT.domestic_garden.aquarium_keeping.pond_keeping,Pond Keeping,Pond Keeping,池塘养鱼,ACTIVITY,ACT.domestic_garden.aquarium_keeping,3,ACTIVITIES,Keeping outdoor garden ponds with fish and aquatic plants.,0,1
ACT.domestic_garden.aquarium_keeping.reef_keeping,Reef Keeping,Reef Keeping,珊瑚礁水族,ACTIVITY,ACT.domestic_garden.aquarium_keeping,3,ACTIVITIES,Maintaining marine aquariums with corals and reef organisms.,0,1
ACT.domestic_garden.backyard_poultry,Backyard Poultry Keeping,Backyard Poultry Keeping,后院养禽,ACTIVITY,ACT.domestic_garden,2,ACTIVITIES,Keeping chickens and other poultry at home for eggs and interest.,0,1
ACT.domestic_garden.beekeeping,Beekeeping,Beekeeping,养蜂,ACTIVITY,ACT.domestic_garden,2,ACTIVITIES,"Keeping honeybee colonies for honey, pollination, and interest.",0,1
ACT.domestic_garden.birdwatching,Birdwatching,Birdwatching,观鸟,ACTIVITY,ACT.domestic_garden,2,ACTIVITIES,Observing and identifying birds in the wild and at feeders.,0,1
ACT.domestic_garden.cheese_making,Cheese Making,Cheese Making,奶酪制作,ACTIVITY,ACT.domestic_garden,2,ACTIVITIES,Making cheese from milk at home.,0,1
ACT.domestic_garden.coffee_roasting,Coffee Roasting,Coffee Roasting,咖啡烘焙,ACTIVITY,ACT.domestic_garden,2,ACTIVITIES,Roasting green coffee beans at home to personal taste.,0,1
ACT.domestic_garden.composting,Composting,Composting,堆肥,ACTIVITY,ACT.domestic_garden,2,ACTIVITIES,Recycling organic waste into compost for the garden.,0,1
ACT.domestic_garden.cooking_baking,Cooking & Baking,Cooking & Baking,烹饪与烘焙,ACTIVITY,ACT.domestic_garden,2,ACTIVITIES,Preparing meals and baked goods at home for pleasure.,0,1
ACT.domestic_garden.cooking_baking.baking,Baking,Baking,烘焙,ACTIVITY,ACT.domestic_garden.cooking_baking,3,ACTIVITIES,"Making breads, cakes, and pastries from scratch.",0,1
ACT.domestic_garden.cooking_baking.bread_making,Bread Making,Bread Making,面包制作,ACTIVITY,ACT.domestic_garden.cooking_baking,3,ACTIVITIES,"Kneading, proofing, and baking bread at home.",0,1
ACT.domestic_garden.cooking_baking.grilling_barbecue,Grilling & Barbecue,Grilling & Barbecue,烧烤,ACTIVITY,ACT.domestic_garden.cooking_baking,3,ACTIVITIES,Cooking food over open flames and coals outdoors.,0,1
ACT.domestic_garden.fermenting,Fermenting,Fermenting,发酵食品,ACTIVITY,ACT.domestic_garden,2,ACTIVITIES,Preserving foods through controlled microbial fermentation.,0,1
ACT.domestic_garden.fermenting.kombucha_brewing,Kombucha Brewing,Kombucha Brewing,康普茶,ACTIVITY,ACT.domestic_garden.fermenting,3,ACTIVITIES,Fermenting sweetened tea into kombucha at home.,0,1
ACT.domestic_garden.foraging,Foraging,Foraging,采集野食,ACTIVITY,ACT.domestic_garden,2,ACTIVITIES,"Gathering wild edible plants, fungi, and nuts responsibly.",0,1
ACT.domestic_garden.foraging.mushroom_hunting,Mushroom Hunting,Mushroom Hunting,采蘑菇,ACTIVITY,ACT.domestic_garden.foraging,3,ACTIVITIES,Searching for and identifying wild edible mushrooms.,0,1
ACT.domestic_garden.gardening,Gardening,Gardening,园艺,ACTIVITY,ACT.domestic_garden,2,ACTIVITIES,Cultivating ornamental plants and maintaining garden spaces.,0,1
ACT.domestic_garden.gardening.container_gardening,Container Gardening,Container Gardening,容器园艺,ACTIVITY,ACT.domestic_garden.gardening,3,ACTIVITIES,Growing plants in pots and containers on balconies and patios.,0,1
ACT.domestic_garden.gardening.flower_gardening,Flower Gardening,Flower Gardening,花卉园艺,ACTIVITY,ACT.domestic_garden.gardening,3,ACTIVITIES,Growing flowering plants for beauty and display.,0,1
ACT.domestic_garden.herb_gardening,Herb Gardening,Herb Gardening,草药种植,ACTIVITY,ACT.domestic_garden,2,ACTIVITIES,Growing culinary and medicinal herbs for home use.,0,1
ACT.domestic_garden.homebrewing,Homebrewing,Homebrewing,家酿,ACTIVITY,ACT.domestic_garden,2,ACTIVITIES,Brewing beer and wine at home in small batches.,0,1
ACT.domestic_garden.homebrewing.beer_brewing,Beer Brewing,Beer Brewing,家酿啤酒,ACTIVITY,ACT.domestic_garden.homebrewing,3,ACTIVITIES,"Brewing beer at home from malt, hops, and yeast.",0,1
ACT.domestic_garden.homebrewing.winemaking,Winemaking,Winemaking,家酿葡萄酒,ACTIVITY,ACT.domestic_garden.homebrewing,3,ACTIVITIES,Fermenting grapes and other fruit into wine at home.,0,1
ACT.domestic_garden.houseplants,Houseplant Keeping,Houseplant Keeping,室内绿植,ACTIVITY,ACT.domestic_garden,2,ACTIVITIES,Growing and caring for indoor plants as a hobby.,0,1
ACT.domestic_garden.hydroponics,Hydroponics Hobby,Hydroponics Hobby,水培园艺,ACTIVITY,ACT.domestic_garden,2,ACTIVITIES,Growing plants without soil using nutrient solutions.,0,1
ACT.domestic_garden.pet_keeping,Pet Keeping,Pet Keeping,宠物饲养,ACTIVITY,ACT.domestic_garden,2,ACTIVITIES,"Caring for companion animals such as cats, dogs, and small pets.",0,1
ACT.domestic_garden.preserving_canning,Preserving & Canning,Preserving & Canning,食品保存,ACTIVITY,ACT.domestic_garden,2,ACTIVITIES,"Preserving fruits and vegetables by canning, drying, and pickling.",0,1
ACT.domestic_garden.terrarium_vivarium,Terrarium & Vivarium Keeping,Terrarium & Vivarium Keeping,生态缸与爬宠,ACTIVITY,ACT.domestic_garden,2,ACTIVITIES,Building glass enclosures for plants and reptiles or amphibians.,0,1
ACT.domestic_garden.vegetable_growing,Vegetable Growing,Vegetable Growing,蔬菜种植,ACTIVITY,ACT.domestic_garden,2,ACTIVITIES,Growing vegetables and herbs at home or in community plots.,0,1
ACT.domestic_garden.vegetable_growing.allotment_gardening,Allotment Gardening,Allotment Gardening,社区菜园,ACTIVITY,ACT.domestic_garden.vegetable_growing,3,ACTIVITIES,Cultivating a rented plot in a shared community garden.,0,1
ACT.domestic_garden.wine_tasting,Wine Tasting,Wine Tasting,品酒,ACTIVITY,ACT.domestic_garden,2,ACTIVITIES,Sampling and evaluating wines for pleasure and education.,0,1
ACT.extreme_sports,Extreme & Adventure Sports,Extreme & Adventure Sports,极限与冒险运动,ACTIVITY,ACTIVITIES,1,ACTIVITIES,"High-adrenaline sports and stunt activities emphasising speed, height, and risk.",0,1
ACT.extreme_sports.base_jumping,BASE Jumping,BASE Jumping,低空跳伞,ACTIVITY,ACT.extreme_sports,2,ACTIVITIES,"Parachuting from fixed objects such as cliffs, buildings, and antennas.",0,1
ACT.extreme_sports.bmx,BMX,BMX,小轮车,ACTIVITY,ACT.extreme_sports,2,ACTIVITIES,"Riding small-frame bicycles for racing, freestyle tricks, and street riding.",0,1
ACT.extreme_sports.bungee_jumping,Bungee Jumping,Bungee Jumping,蹦极,ACTIVITY,ACT.extreme_sports,2,ACTIVITIES,Jumping from a height while attached to an elastic cord.,0,1
ACT.extreme_sports.cliff_diving,Cliff Diving,Cliff Diving,悬崖跳水,ACTIVITY,ACT.extreme_sports,2,ACTIVITIES,Diving from high natural cliffs into open water.,0,1
ACT.extreme_sports.dirt_biking,Dirt Biking,Dirt Biking,越野骑行,ACTIVITY,ACT.extreme_sports,2,ACTIVITIES,Recreational trail riding of off-road motorcycles on natural terrain.,0,1
ACT.extreme_sports.freerunning,Freerunning,Freerunning,自由跑酷,ACTIVITY,ACT.extreme_sports,2,ACTIVITIES,An expressive variant of parkour incorporating flips and acrobatics.,0,1
ACT.extreme_sports.freestyle_skiing,Freestyle Skiing,Freestyle Skiing,自由式滑雪,ACTIVITY,ACT.extreme_sports,2,ACTIVITIES,"Skiing emphasizing aerial tricks, rails, moguls, and terrain parks.",0,1
ACT.extreme_sports.hang_gliding,Hang Gliding,Hang Gliding,悬挂式滑翔,ACTIVITY,ACT.extreme_sports,2,ACTIVITIES,Flying a rigid-wing glider while suspended in a harness.,0,1
ACT.extreme_sports.inline_skating,Inline Skating,Inline Skating,轮滑,ACTIVITY,ACT.extreme_sports,2,ACTIVITIES,"Skating on boots with wheels in a line for recreation, fitness, and tricks.",0,1
ACT.extreme_sports.kitesurfing,Kitesurfing,Kitesurfing,风筝冲浪,ACTIVITY,ACT.extreme_sports,2,ACTIVITIES,Riding a board while pulled by a large controllable power kite.,0,1
ACT.extreme_sports.longboarding,Longboarding,Longboarding,长板,ACTIVITY,ACT.extreme_sports,2,ACTIVITIES,"Riding a longer skateboard for cruising, carving, and downhill speed.",0,1
ACT.extreme_sports.motocross,Motocross,Motocross,越野摩托车,ACTIVITY,ACT.extreme_sports,2,ACTIVITIES,Racing off-road motorcycles on closed dirt circuits with jumps.,0,1
ACT.extreme_sports.paragliding,Paragliding,Paragliding,滑翔伞,ACTIVITY,ACT.extreme_sports,2,ACTIVITIES,Flying lightweight foot-launched gliders with a fabric wing from hills and thermals.,0,1
ACT.extreme_sports.paramotoring,Paramotoring,Paramotoring,动力滑翔伞,ACTIVITY,ACT.extreme_sports,2,ACTIVITIES,Flying a paraglider with a backpack motor for powered take-off and sustained flight.,0,1
ACT.extreme_sports.parkour,Parkour,Parkour,跑酷,ACTIVITY,ACT.extreme_sports,2,ACTIVITIES,"Moving through urban or natural obstacles by running, vaulting, and climbing efficiently.",0,1
ACT.extreme_sports.skateboarding,Skateboarding,Skateboarding,滑板,ACTIVITY,ACT.extreme_sports,2,ACTIVITIES,"Riding and performing tricks on a skateboard in streets, parks, and ramps.",0,1
ACT.extreme_sports.skydiving,Skydiving,Skydiving,跳伞,ACTIVITY,ACT.extreme_sports,2,ACTIVITIES,"Parachuting from aircraft, including freefall before canopy deployment.",0,1
ACT.extreme_sports.snowboarding,Snowboarding,Snowboarding,单板滑雪,ACTIVITY,ACT.extreme_sports,2,ACTIVITIES,Descending snow slopes on a single board with bindings.,0,1
ACT.extreme_sports.snowkiting,Snowkiting,Snowkiting,雪地风筝,ACTIVITY,ACT.extreme_sports,2,ACTIVITIES,Using a power kite to ski or snowboard across snow and ice.,0,1
ACT.extreme_sports.snowmobiling,Snowmobiling,Snowmobiling,雪地摩托,ACTIVITY,ACT.extreme_sports,2,ACTIVITIES,Riding motorized snow vehicles across snow for recreation.,0,1
ACT.extreme_sports.surfing,Surfing,Surfing,冲浪,ACTIVITY,ACT.extreme_sports,2,ACTIVITIES,Riding ocean waves on a surfboard.,0,1
ACT.extreme_sports.surfing.bodyboarding,Bodyboarding,Bodyboarding,趴板冲浪,ACTIVITY,ACT.extreme_sports.surfing,3,ACTIVITIES,Riding waves prone or kneeling on a small flexible board.,0,1
ACT.extreme_sports.wakeboarding,Wakeboarding,Wakeboarding,尾波滑水,ACTIVITY,ACT.extreme_sports,2,ACTIVITIES,Riding a board over water while towed behind a boat across its wake.,0,1
ACT.extreme_sports.water_skiing,Water Skiing,Water Skiing,滑水,ACTIVITY,ACT.extreme_sports,2,ACTIVITIES,Skiing on water while towed behind a boat.,0,1
ACT.extreme_sports.windsurfing,Windsurfing,Windsurfing,帆板,ACTIVITY,ACT.extreme_sports,2,ACTIVITIES,Riding a board with an attached sail powered by wind.,0,1
ACT.extreme_sports.wingsuit_flying,Wingsuit Flying,Wingsuit Flying,翼装飞行,ACTIVITY,ACT.extreme_sports,2,ACTIVITIES,Gliding in a suit with fabric wings before deploying a parachute.,0,1
ACT.extreme_sports.ziplining,Ziplining,Ziplining,滑索,ACTIVITY,ACT.extreme_sports,2,ACTIVITIES,Riding a suspended cable pulley from a height for recreation.,0,1
ACT.fandom_collecting,Fandom & Collecting,Fandom & Collecting,粉丝文化与收藏,ACTIVITY,ACTIVITIES,1,ACTIVITIES,"Organised enthusiasm for media, celebrities, and the systematic accumulation of objects.",0,1
ACT.fandom_collecting.antique_collecting,Antique Collecting,Antique Collecting,古董收藏,ACTIVITY,ACT.fandom_collecting,2,ACTIVITIES,Collecting old and historically significant objects.,0,1
ACT.fandom_collecting.art_collecting,Art Collecting,Art Collecting,艺术品收藏,ACTIVITY,ACT.fandom_collecting,2,ACTIVITIES,Acquiring artworks and prints for personal enjoyment and investment.,0,1
ACT.fandom_collecting.book_collecting,Book Collecting,Book Collecting,藏书,ACTIVITY,ACT.fandom_collecting,2,ACTIVITIES,"Collecting rare, first-edition, and personally significant books.",0,1
ACT.fandom_collecting.coin_collecting,Coin Collecting,Coin Collecting,钱币收藏,ACTIVITY,ACT.fandom_collecting,2,ACTIVITIES,Collecting coins and studying numismatics.,0,1
ACT.fandom_collecting.comic_book_collecting,Comic Book Collecting,Comic Book Collecting,漫画收藏,ACTIVITY,ACT.fandom_collecting,2,ACTIVITIES,"Collecting comic books and graphic novels, often key issues.",0,1
ACT.fandom_collecting.conventions,Conventions,Conventions,同人展,ACTIVITY,ACT.fandom_collecting,2,ACTIVITIES,"Large gatherings of fans for panels, vendors, and community events.",0,1
ACT.fandom_collecting.conventions.anime_conventions,Anime Conventions,Anime Conventions,动漫展,ACTIVITY,ACT.fandom_collecting.conventions,3,ACTIVITIES,"Conventions celebrating Japanese animation, manga, and related culture.",0,1
ACT.fandom_collecting.conventions.comic_conventions,Comic Conventions,Comic Conventions,漫展,ACTIVITY,ACT.fandom_collecting.conventions,3,ACTIVITIES,"Multi-genre conventions focused on comics, film, and pop culture.",0,1
ACT.fandom_collecting.conventions.sci_fi_conventions,Science Fiction Conventions,Science Fiction Conventions,科幻大会,ACTIVITY,ACT.fandom_collecting.conventions,3,ACTIVITIES,"Conventions focused on science fiction literature, film, and fandom.",0,1
ACT.fandom_collecting.cosplay,Cosplay,Cosplay,角色扮演,ACTIVITY,ACT.fandom_collecting,2,ACTIVITIES,Dressing and performing as characters from media at events and shoots.,0,1
ACT.fandom_collecting.diecast_model_collecting,Diecast Model Collecting,Diecast Model Collecting,压铸模型收藏,ACTIVITY,ACT.fandom_collecting,2,ACTIVITIES,Collecting die-cast metal models of vehicles and aircraft.,0,1
ACT.fandom_collecting.fandom,Fandom,Fandom,粉丝圈,ACTIVITY,ACT.fandom_collecting,2,ACTIVITIES,"Organised enthusiasm and community identity around media, creators, or celebrities.",0,1
ACT.fandom_collecting.fandom.fan_clubs,Fan Clubs,Fan Clubs,粉丝俱乐部,ACTIVITY,ACT.fandom_collecting.fandom,3,ACTIVITIES,Formal or informal groups organised around a shared fandom.,0,1
ACT.fandom_collecting.film_buff,Film Buff Culture,Film Buff Culture,影迷文化,ACTIVITY,ACT.fandom_collecting,2,ACTIVITIES,"Enthusiastic viewing, discussion, and curation of cinema.",0,1
ACT.fandom_collecting.idol_culture,Idol Culture,Idol Culture,偶像粉丝文化,ACTIVITY,ACT.fandom_collecting,2,ACTIVITIES,"Following and supporting pop idols and celebrity fandoms, especially in East Asia.",0,0
ACT.fandom_collecting.memorabilia_collecting,Memorabilia Collecting,Memorabilia Collecting,纪念品收藏,ACTIVITY,ACT.fandom_collecting,2,ACTIVITIES,"Collecting objects associated with people, events, and popular culture.",0,1
ACT.fandom_collecting.memorabilia_collecting.autograph_collecting,Autograph Collecting,Autograph Collecting,签名收藏,ACTIVITY,ACT.fandom_collecting.memorabilia_collecting,3,ACTIVITIES,"Collecting signed photographs, cards, and items from celebrities and athletes.",0,1
ACT.fandom_collecting.memorabilia_collecting.sports_memorabilia,Sports Memorabilia,Sports Memorabilia,体育纪念品,ACTIVITY,ACT.fandom_collecting.memorabilia_collecting,3,ACTIVITIES,"Collecting jerseys, equipment, and items tied to sporting history.",0,1
ACT.fandom_collecting.militaria_collecting,Militaria Collecting,Militaria Collecting,军事收藏,ACTIVITY,ACT.fandom_collecting,2,ACTIVITIES,"Collecting military uniforms, medals, and equipment from historical conflicts.",0,1
ACT.fandom_collecting.poster_collecting,Poster Collecting,Poster Collecting,海报收藏,ACTIVITY,ACT.fandom_collecting,2,ACTIVITIES,"Collecting film, concert, and propaganda posters.",0,1
ACT.fandom_collecting.rock_mineral_collecting,Rock & Mineral Collecting,Rock & Mineral Collecting,矿石收藏,ACTIVITY,ACT.fandom_collecting,2,ACTIVITIES,Acquiring and displaying mineral specimens and gemstones.,0,1
ACT.fandom_collecting.sneaker_collecting,Sneaker Collecting,Sneaker Collecting,球鞋收藏,ACTIVITY,ACT.fandom_collecting,2,ACTIVITIES,Collecting limited and culturally significant athletic footwear.,0,1
ACT.fandom_collecting.sports_fandom,Sports Fandom,Sports Fandom,体育迷,ACTIVITY,ACT.fandom_collecting,2,ACTIVITIES,"Following and supporting sports teams, leagues, and athletes.",0,1
ACT.fandom_collecting.stamp_collecting,Stamp Collecting,Stamp Collecting,集邮,ACTIVITY,ACT.fandom_collecting,2,ACTIVITIES,Collecting and studying postage stamps and postal history.,0,1
ACT.fandom_collecting.toy_collecting,Toy Collecting,Toy Collecting,玩具收藏,ACTIVITY,ACT.fandom_collecting,2,ACTIVITIES,"Collecting toys, figures, and models, often mint or vintage.",0,1
ACT.fandom_collecting.toy_collecting.action_figure_collecting,Action Figure Collecting,Action Figure Collecting,可动人偶收藏,ACTIVITY,ACT.fandom_collecting.toy_collecting,3,ACTIVITIES,"Collecting poseable character figures from films, comics, and games.",0,1
ACT.fandom_collecting.trading_card_collecting,Trading Card Collecting,Trading Card Collecting,卡牌收藏,ACTIVITY,ACT.fandom_collecting,2,ACTIVITIES,"Collecting sports, game, and character trading cards.",0,1
ACT.fandom_collecting.vinyl_record_collecting,Vinyl Record Collecting,Vinyl Record Collecting,黑胶唱片收藏,ACTIVITY,ACT.fandom_collecting,2,ACTIVITIES,Collecting and curating phonograph records.,0,1
ACT.fandom_collecting.watch_collecting,Watch Collecting,Watch Collecting,手表收藏,ACTIVITY,ACT.fandom_collecting,2,ACTIVITIES,Collecting and appreciating mechanical and vintage timepieces.,0,1
ACT.gaming,Gaming,Gaming,游戏,ACTIVITY,ACTIVITIES,1,ACTIVITIES,"Play of tabletop and digital games, and the surrounding culture of modding, speedrunning, and spectating.",0,1
ACT.gaming.arcade_gaming,Arcade Gaming,Arcade Gaming,街机游戏,ACTIVITY,ACT.gaming,2,ACTIVITIES,Playing coin-operated arcade machines and retro cabinets.,0,1
ACT.gaming.board_gaming,Board Gaming,Board Gaming,桌游,ACTIVITY,ACT.gaming,2,ACTIVITIES,Playing modern and classic tabletop board games with friends and groups.,0,1
ACT.gaming.card_gaming,Card Gaming,Card Gaming,卡牌游戏,ACTIVITY,ACT.gaming,2,ACTIVITIES,Playing traditional and modern card games.,0,1
ACT.gaming.card_gaming.trading_card_game_play,Trading Card Game Play,Trading Card Game Play,集换式卡牌游戏,ACTIVITY,ACT.gaming.card_gaming,3,ACTIVITIES,Playing collectible card games in tournaments and casual matches.,0,1
ACT.gaming.escape_rooms,Escape Rooms,Escape Rooms,密室逃脱,ACTIVITY,ACT.gaming,2,ACTIVITIES,Solving themed puzzle rooms to escape within a time limit.,0,1
ACT.gaming.esports_spectating,Esports Spectating,Esports Spectating,电竞观赛,ACTIVITY,ACT.gaming,2,ACTIVITIES,Watching and following competitive video gaming as an audience.,0,1
