:ID,:LABEL,id:ID,name,name_zh,type,universe,level:INT
ACT.creative_hobbies.content_creation,Node;ACTIVITY,ACT.creative_hobbies.content_creation,Content Creation,内容创作,ACTIVITY,ACTIVITIES,2
ACT.creative_hobbies.creative_writing,Node;ACTIVITY,ACT.creative_hobbies.creative_writing,Creative Writing,创意写作,ACTIVITY,ACTIVITIES,2
ACT.creative_hobbies.creative_writing.fiction_writing,Node;ACTIVITY,ACT.creative_hobbies.creative_writing.fiction_writing,Fiction Writing,小说创作,ACTIVITY,ACTIVITIES,3
ACT.creative_hobbies.creative_writing.poetry_writing,Node;ACTIVITY,ACT.creative_hobbies.creative_writing.poetry_writing,Poetry Writing,诗歌创作,ACTIVITY,ACTIVITIES,3
ACT.creative_hobbies.creative_writing.screenwriting,Node;ACTIVITY,ACT.creative_hobbies.creative_writing.screenwriting,Screenwriting,剧本创作,ACTIVITY,ACTIVITIES,3
ACT.creative_hobbies.digital_sculpting,Node;ACTIVITY,ACT.creative_hobbies.digital_sculpting,Digital Sculpting,数字雕刻,ACTIVITY,ACTIVITIES,2
ACT.creative_hobbies.drawing_painting,Node;ACTIVITY,ACT.creative_hobbies.drawing_painting,Drawing & Painting,绘画,ACTIVITY,ACTIVITIES,2
ACT.creative_hobbies.drawing_painting.digital_painting,Node;ACTIVITY,ACT.creative_hobbies.drawing_painting.digital_painting,Digital Painting,数字绘画,ACTIVITY,ACTIVITIES,3
ACT.creative_hobbies.drawing_painting.oil_painting,Node;ACTIVITY,ACT.creative_hobbies.drawing_painting.oil_painting,Oil Painting,油画,ACTIVITY,ACTIVITIES,3
ACT.creative_hobbies.drawing_painting.sketching,Node;ACTIVITY,ACT.creative_hobbies.drawing_painting.sketching,Sketching,速写,ACTIVITY,ACTIVITIES,3
ACT.creative_hobbies.drawing_painting.urban_sketching,Node;ACTIVITY,ACT.creative_hobbies.drawing_painting.urban_sketching,Urban Sketching,城市速写,ACTIVITY,ACTIVITIES,3
ACT.creative_hobbies.drawing_painting.watercolor_painting,Node;ACTIVITY,ACT.creative_hobbies.drawing_painting.watercolor_painting,Watercolor Painting,水彩画,ACTIVITY,ACTIVITIES,3
ACT.creative_hobbies.fan_art,Node;ACTIVITY,ACT.creative_hobbies.fan_art,Fan Art,同人艺术,ACTIVITY,ACTIVITIES,2
ACT.creative_hobbies.fan_fiction,Node;ACTIVITY,ACT.creative_hobbies.fan_fiction,Fan Fiction,同人小说,ACTIVITY,ACTIVITIES,2
ACT.creative_hobbies.graphic_design_hobby,Node;ACTIVITY,ACT.creative_hobbies.graphic_design_hobby,Graphic Design Hobby,平面设计爱好,ACTIVITY,ACTIVITIES,2
ACT.creative_hobbies.journaling,Node;ACTIVITY,ACT.creative_hobbies.journaling,Journaling,手账与日记,ACTIVITY,ACTIVITIES,2
ACT.creative_hobbies.music_making,Node;ACTIVITY,ACT.creative_hobbies.music_making,Music Making,音乐创作,ACTIVITY,ACTIVITIES,2
ACT.creative_hobbies.music_making.beatmaking,Node;ACTIVITY,ACT.creative_hobbies.music_making.beatmaking,Beatmaking,节拍制作,ACTIVITY,ACTIVITIES,3
ACT.creative_hobbies.music_making.electronic_music_production,Node;ACTIVITY,ACT.creative_hobbies.music_making.electronic_music_production,Electronic Music Production,电子音乐制作,ACTIVITY,ACTIVITIES,3
ACT.creative_hobbies.music_making.home_recording,Node;ACTIVITY,ACT.creative_hobbies.music_making.home_recording,Home Recording,家庭录音,ACTIVITY,ACTIVITIES,3
ACT.creative_hobbies.music_making.songwriting,Node;ACTIVITY,ACT.creative_hobbies.music_making.songwriting,Songwriting,歌曲创作,ACTIVITY,ACTIVITIES,3
ACT.creative_hobbies.pixel_art,Node;ACTIVITY,ACT.creative_hobbies.pixel_art,Pixel Art,像素画,ACTIVITY,ACTIVITIES,2
ACT.creative_hobbies.podcasting_hobby,Node;ACTIVITY,ACT.creative_hobbies.podcasting_hobby,Podcasting Hobby,播客制作,ACTIVITY,ACTIVITIES,2
ACT.creative_hobbies.streaming,Node;ACTIVITY,ACT.creative_hobbies.streaming,Streaming,直播,ACTIVITY,ACTIVITIES,2
ACT.creative_hobbies.streaming.game_streaming,Node;ACTIVITY,ACT.creative_hobbies.streaming.game_streaming,Game Streaming,游戏直播,ACTIVITY,ACTIVITIES,3
ACT.creative_hobbies.vlogging,Node;ACTIVITY,ACT.creative_hobbies.vlogging,Vlogging,视频博客,ACTIVITY,ACTIVITIES,2
ACT.creative_hobbies.webcomic_creation,Node;ACTIVITY,ACT.creative_hobbies.webcomic_creation,Webcomic Creation,网络漫画创作,ACTIVITY,ACTIVITIES,2
ACT.domestic_garden,Node;ACTIVITY,ACT.domestic_garden,Domestic & Garden,居家与园艺,ACTIVITY,ACTIVITIES,1
ACT.domestic_garden.aquarium_keeping,Node;ACTIVITY,ACT.domestic_garden.aquarium_keeping,Aquarium Keeping,水族饲养,ACTIVITY,ACTIVITIES,2
ACT.domestic_garden.aquarium_keeping.freshwater_aquarium,Node;ACTIVITY,ACT.domestic_garden.aquarium_keeping.freshwater_aquarium,Freshwater Aquarium,淡水水族,ACTIVITY,ACTIVITIES,3
ACT.domestic_garden.aquarium_keeping.pond_keeping,Node;ACTIVITY,ACT.domestic_garden.aquarium_keeping.pond_keeping,Pond Keeping,池塘养鱼,ACTIVITY,ACTIVITIES,3
ACT.domestic_garden.aquarium_keeping.reef_keeping,Node;ACTIVITY,ACT.domestic_garden.aquarium_keeping.reef_keeping,Reef Keeping,珊瑚礁水族,ACTIVITY,ACTIVITIES,3
ACT.domestic_garden.backyard_poultry,Node;ACTIVITY,ACT.domestic_garden.backyard_poultry,Backyard Poultry Keeping,后院养禽,ACTIVITY,ACTIVITIES,2
ACT.domestic_garden.beekeeping,Node;ACTIVITY,ACT.domestic_garden.beekeeping,Beekeeping,养蜂,ACTIVITY,ACTIVITIES,2
ACT.domestic_garden.birdwatching,Node;ACTIVITY,ACT.domestic_garden.birdwatching,Birdwatching,观鸟,ACTIVITY,ACTIVITIES,2
ACT.domestic_garden.cheese_making,Node;ACTIVITY,ACT.domestic_garden.cheese_making,Cheese Making,奶酪制作,ACTIVITY,ACTIVITIES,2
ACT.domestic_garden.coffee_roasting,Node;ACTIVITY,ACT.domestic_garden.coffee_roasting,Coffee Roasting,咖啡烘焙,ACTIVITY,ACTIVITIES,2
ACT.domestic_garden.composting,Node;ACTIVITY,ACT.domestic_garden.composting,Composting,堆肥,ACTIVITY,ACTIVITIES,2
ACT.domestic_garden.cooking_baking,Node;ACTIVITY,ACT.domestic_garden.cooking_baking,Cooking & Baking,烹饪与烘焙,ACTIVITY,ACTIVITIES,2
ACT.domestic_garden.cooking_baking.baking,Node;ACTIVITY,ACT.domestic_garden.cooking_baking.baking,Baking,烘焙,ACTIVITY,ACTIVITIES,3
ACT.domestic_garden.cooking_baking.bread_making,Node;ACTIVITY,ACT.domestic_garden.cooking_baking.bread_making,Bread Making,面包制作,ACTIVITY,ACTIVITIES,3
ACT.domestic_garden.cooking_baking.grilling_barbecue,Node;ACTIVITY,ACT.domestic_garden.cooking_baking.grilling_barbecue,Grilling & Barbecue,烧烤,ACTIVITY,ACTIVITIES,3
ACT.domestic_garden.fermenting,Node;ACTIVITY,ACT.domestic_garden.fermenting,Fermenting,发酵食品,ACTIVITY,ACTIVITIES,2
ACT.domestic_garden.fermenting.kombucha_brewing,Node;ACTIVITY,ACT.domestic_garden.fermenting.kombucha_brewing,Kombucha Brewing,康普茶,ACTIVITY,ACTIVITIES,3
ACT.domestic_garden.foraging,Node;ACTIVITY,ACT.domestic_garden.foraging,Foraging,采集野食,ACTIVITY,ACTIVITIES,2
ACT.domestic_garden.foraging.mushroom_hunting,Node;ACTIVITY,ACT.domestic_garden.foraging.mushroom_hunting,Mushroom Hunting,采蘑菇,ACTIVITY,ACTIVITIES,3
ACT.domestic_garden.gardening,Node;ACTIVITY,ACT.domestic_garden.gardening,Gardening,园艺,ACTIVITY,ACTIVITIES,2
ACT.domestic_garden.gardening.container_gardening,Node;ACTIVITY,ACT.domestic_garden.gardening.container_gardening,Container Gardening,容器园艺,ACTIVITY,ACTIVITIES,3
ACT.domestic_garden.gardening.flower_gardening,Node;ACTIVITY,ACT.domestic_garden.gardening.flower_gardening,Flower Gardening,花卉园艺,ACTIVITY,ACTIVITIES,3
ACT.domestic_garden.herb_gardening,Node;ACTIVITY,ACT.domestic_garden.herb_gardening,Herb Gardening,草药种植,ACTIVITY,ACTIVITIES,2
ACT.domestic_garden.homebrewing,Node;ACTIVITY,ACT.domestic_garden.homebrewing,Homebrewing,家酿,ACTIVITY,ACTIVITIES,2
ACT.domestic_garden.homebrewing.beer_brewing,Node;ACTIVITY,ACT.domestic_garden.homebrewing.beer_brewing,Beer Brewing,家酿啤酒,ACTIVITY,ACTIVITIES,3
ACT.domestic_garden.homebrewing.winemaking,Node;ACTIVITY,ACT.domestic_garden.homebrewing.winemaking,Winemaking,家酿葡萄酒,ACTIVITY,ACTIVITIES,3
ACT.domestic_garden.houseplants,Node;ACTIVITY,ACT.domestic_garden.houseplants,Houseplant Keeping,室内绿植,ACTIVITY,ACTIVITIES,2
ACT.domestic_garden.hydroponics,Node;ACTIVITY,ACT.domestic_garden.hydroponics,Hydroponics Hobby,水培园艺,ACTIVITY,ACTIVITIES,2
ACT.domestic_garden.pet_keeping,Node;ACTIVITY,ACT.domestic_garden.pet_keeping,Pet Keeping,宠物饲养,ACTIVITY,ACTIVITIES,2
ACT.domestic_garden.preserving_canning,Node;ACTIVITY,ACT.domestic_garden.preserving_canning,Preserving & Canning,食品保存,ACTIVITY,ACTIVITIES,2
ACT.domestic_garden.terrarium_vivarium,Node;ACTIVITY,ACT.domestic_garden.terrarium_vivarium,Terrarium & Vivarium Keeping,生态缸与爬宠,ACTIVITY,ACTIVITIES,2
ACT.domestic_garden.vegetable_growing,Node;ACTIVITY,ACT.domestic_garden.vegetable_growing,Vegetable Growing,蔬菜种植,ACTIVITY,ACTIVITIES,2
ACT.domestic_garden.vegetable_growing.allotment_gardening,Node;ACTIVITY,ACT.domestic_garden.vegetable_growing.allotment_gardening,Allotment Gardening,社区菜园,ACTIVITY,ACTIVITIES,3
ACT.domestic_garden.wine_tasting,Node;ACTIVITY,ACT.domestic_garden.wine_tasting,Wine Tasting,品酒,ACTIVITY,ACTIVITIES,2
ACT.extreme_sports,Node;ACTIVITY,ACT.extreme_sports,Extreme & Adventure Sports,极限与冒险运动,ACTIVITY,ACTIVITIES,1
ACT.extreme_sports.base_jumping,Node;ACTIVITY,ACT.extreme_sports.base_jumping,BASE Jumping,低空跳伞,ACTIVITY,ACTIVITIES,2
ACT.extreme_sports.bmx,Node;ACTIVITY,ACT.extreme_sports.bmx,BMX,小轮车,ACTIVITY,ACTIVITIES,2
ACT.extreme_sports.bungee_jumping,Node;ACTIVITY,ACT.extreme_sports.bungee_jumping,Bungee Jumping,蹦极,ACTIVITY,ACTIVITIES,2
ACT.extreme_sports.cliff_diving,Node;ACTIVITY,ACT.extreme_sports.cliff_diving,Cliff Diving,悬崖跳水,ACTIVITY,ACTIVITIES,2
ACT.extreme_sports.dirt_biking,Node;ACTIVITY,ACT.extreme_sports.dirt_biking,Dirt Biking,越野骑行,ACTIVITY,ACTIVITIES,2
ACT.extreme_sports.freerunning,Node;ACTIVITY,ACT.extreme_sports.freerunning,Freerunning,自由跑酷,ACTIVITY,ACTIVITIES,2
ACT.extreme_sports.freestyle_skiing,Node;ACTIVITY,ACT.extreme_sports.freestyle_skiing,Freestyle Skiing,自由式滑雪,ACTIVITY,ACTIVITIES,2
ACT.extreme_sports.hang_gliding,Node;ACTIVITY,ACT.extreme_sports.hang_gliding,Hang Gliding,悬挂式滑翔,ACTIVITY,ACTIVITIES,2
ACT.extreme_sports.inline_skating,Node;ACTIVITY,ACT.extreme_sports.inline_skating,Inline Skating,轮滑,ACTIVITY,ACTIVITIES,2
ACT.extreme_sports.kitesurfing,Node;ACTIVITY,ACT.extreme_sports.kitesurfing,Kitesurfing,风筝冲浪,ACTIVITY,ACTIVITIES,2
ACT.extreme_sports.longboarding,Node;ACTIVITY,ACT.extreme_sports.longboarding,Longboarding,长板,ACTIVITY,ACTIVITIES,2
ACT.extreme_sports.motocross,Node;ACTIVITY,ACT.extreme_sports.motocross,Motocross,越野摩托车,ACTIVITY,ACTIVITIES,2
ACT.extreme_sports.paragliding,Node;ACTIVITY,ACT.extreme_sports.paragliding,Paragliding,滑翔伞,ACTIVITY,ACTIVITIES,2
ACT.extreme_sports.paramotoring,Node;ACTIVITY,ACT.extreme_sports.paramotoring,Paramotoring,动力滑翔伞,ACTIVITY,ACTIVITIES,2
ACT.extreme_sports.parkour,Node;ACTIVITY,ACT.extreme_sports.parkour,Parkour,跑酷,ACTIVITY,ACTIVITIES,2
ACT.extreme_sports.skateboarding,Node;ACTIVITY,ACT.extreme_sports.skateboarding,Skateboarding,滑板,ACTIVITY,ACTIVITIES,2
ACT.extreme_sports.skydiving,Node;ACTIVITY,ACT.extreme_sports.skydiving,Skydiving,跳伞,ACTIVITY,ACTIVITIES,2
ACT.extreme_sports.snowboarding,Node;ACTIVITY,ACT.extreme_sports.snowboarding,Snowboarding,单板滑雪,ACTIVITY,ACTIVITIES,2
ACT.extreme_sports.snowkiting,Node;ACTIVITY,ACT.extreme_sports.snowkiting,Snowkiting,雪地风筝,ACTIVITY,ACTIVITIES,2
ACT.extreme_sports.snowmobiling,Node;ACTIVITY,ACT.extreme_sports.snowmobiling,Snowmobiling,雪地摩托,ACTIVITY,ACTIVITIES,2
ACT.extreme_sports.surfing,Node;ACTIVITY,ACT.extreme_sports.surfing,Surfing,冲浪,ACTIVITY,ACTIVITIES,2
ACT.extreme_sports.surfing.bodyboarding,Node;ACTIVITY,ACT.extreme_sports.surfing.bodyboarding,Bodyboarding,趴板冲浪,ACTIVITY,ACTIVITIES,3
ACT.extreme_sports.wakeboarding,Node;ACTIVITY,ACT.extreme_sports.wakeboarding,Wakeboarding,尾波滑水,ACTIVITY,ACTIVITIES,2
ACT.extreme_sports.water_skiing,Node;ACTIVITY,ACT.extreme_sports.water_skiing,Water Skiing,滑水,ACTIVITY,ACTIVITIES,2
ACT.extreme_sports.windsurfing,Node;ACTIVITY,ACT.extreme_sports.windsurfing,Windsurfing,帆板,ACTIVITY,ACTIVITIES,2
ACT.extreme_sports.wingsuit_flying,Node;ACTIVITY,ACT.extreme_sports.wingsuit_flying,Wingsuit Flying,翼装飞行,ACTIVITY,ACTIVITIES,2
ACT.extreme_sports.ziplining,Node;ACTIVITY,ACT.extreme_sports.ziplining,Ziplining,滑索,ACTIVITY,ACTIVITIES,2
ACT.fandom_collecting,Node;ACTIVITY,ACT.fandom_collecting,Fandom & Collecting,粉丝文化与收藏,ACTIVITY,ACTIVITIES,1
ACT.fandom_collecting.antique_collecting,Node;ACTIVITY,ACT.fandom_collecting.antique_collecting,Antique Collecting,古董收藏,ACTIVITY,ACTIVITIES,2
ACT.fandom_collecting.art_collecting,Node;ACTIVITY,ACT.fandom_collecting.art_collecting,Art Collecting,艺术品收藏,ACTIVITY,ACTIVITIES,2
ACT.fandom_collecting.book_collecting,Node;ACTIVITY,ACT.fandom_collecting.book_collecting,Book Collecting,藏书,ACTIVITY,ACTIVITIES,2
ACT.fandom_collecting.coin_collecting,Node;ACTIVITY,ACT.fandom_collecting.coin_collecting,Coin Collecting,钱币收藏,ACTIVITY,ACTIVITIES,2
ACT.fandom_collecting.comic_book_collecting,Node;ACTIVITY,ACT.fandom_collecting.comic_book_collecting,Comic Book Collecting,漫画收藏,ACTIVITY,ACTIVITIES,2
ACT.fandom_collecting.conventions,Node;ACTIVITY,ACT.fandom_collecting.conventions,Conventions,同人展,ACTIVITY,ACTIVITIES,2
ACT.fandom_collecting.conventions.anime_conventions,Node;ACTIVITY,ACT.fandom_collecting.conventions.anime_conventions,Anime Conventions,动漫展,ACTIVITY,ACTIVITIES,3
ACT.fandom_collecting.conventions.comic_conventions,Node;ACTIVITY,ACT.fandom_collecting.conventions.comic_conventions,Comic Conventions,漫展,ACTIVITY,ACTIVITIES,3
ACT.fandom_collecting.conventions.sci_fi_conventions,Node;ACTIVITY,ACT.fandom_collecting.conventions.sci_fi_conventions,Science Fiction Conventions,科幻大会,ACTIVITY,ACTIVITIES,3
ACT.fandom_collecting.cosplay,Node;ACTIVITY,ACT.fandom_collecting.cosplay,Cosplay,角色扮演,ACTIVITY,ACTIVITIES,2
ACT.fandom_collecting.diecast_model_collecting,Node;ACTIVITY,ACT.fandom_collecting.diecast_model_collecting,Diecast Model Collecting,压铸模型收藏,ACTIVITY,ACTIVITIES,2
ACT.fandom_collecting.fandom,Node;ACTIVITY,ACT.fandom_collecting.fandom,Fandom,粉丝圈,ACTIVITY,ACTIVITIES,2
ACT.fandom_collecting.fandom.fan_clubs,Node;ACTIVITY,ACT.fandom_collecting.fandom.fan_clubs,Fan Clubs,粉丝俱乐部,ACTIVITY,ACTIVITIES,3
ACT.fandom_collecting.film_buff,Node;ACTIVITY,ACT.fandom_collecting.film_buff,Film Buff Culture,影迷文化,ACTIVITY,ACTIVITIES,2
ACT.fandom_collecting.idol_culture,Node;ACTIVITY,ACT.fandom_collecting.idol_culture,Idol Culture,偶像粉丝文化,ACTIVITY,ACTIVITIES,2
ACT.fandom_collecting.memorabilia_collecting,Node;ACTIVITY,ACT.fandom_collecting.memorabilia_collecting,Memorabilia Collecting,纪念品收藏,ACTIVITY,ACTIVITIES,2
ACT.fandom_collecting.memorabilia_collecting.autograph_collecting,Node;ACTIVITY,ACT.fandom_collecting.memorabilia_collecting.autograph_collecting,Autograph Collecting,签名收藏,ACTIVITY,ACTIVITIES,3
ACT.fandom_collecting.memorabilia_collecting.sports_memorabilia,Node;ACTIVITY,ACT.fandom_collecting.memorabilia_collecting.sports_memorabilia,Sports Memorabilia,体育纪念品,ACTIVITY,ACTIVITIES,3
ACT.fandom_collecting.militaria_collecting,Node;ACTIVITY,ACT.fandom_collecting.militaria_collecting,Militaria Collecting,军事收藏,ACTIVITY,ACTIVITIES,2
ACT.fandom_collecting.poster_collecting,Node;ACTIVITY,ACT.fandom_collecting.poster_collecting,Poster Collecting,海报收藏,ACTIVITY,ACTIVITIES,2
ACT.fandom_collecting.rock_mineral_collecting,Node;ACTIVITY,ACT.fandom_collecting.rock_mineral_collecting,Rock & Mineral Collecting,矿石收藏,ACTIVITY,ACTIVITIES,2
ACT.fandom_collecting.sneaker_collecting,Node;ACTIVITY,ACT.fandom_collecting.sneaker_collecting,Sneaker Collecting,球鞋收藏,ACTIVITY,ACTIVITIES,2
ACT.fandom_collecting.sports_fandom,Node;ACTIVITY,ACT.fandom_collecting.sports_fandom,Sports Fandom,体育迷,ACTIVITY,ACTIVITIES,2
ACT.fandom_collecting.stamp_collecting,Node;ACTIVITY,ACT.fandom_collecting.stamp_collecting,Stamp Collecting,集邮,ACTIVITY,ACTIVITIES,2
ACT.fandom_collecting.toy_collecting,Node;ACTIVITY,ACT.fandom_collecting.toy_collecting,Toy Collecting,玩具收藏,ACTIVITY,ACTIVITIES,2
ACT.fandom_collecting.toy_collecting.action_figure_collecting,Node;ACTIVITY,ACT.fandom_collecting.toy_collecting.action_figure_collecting,Action Figure Collecting,可动人偶收藏,ACTIVITY,ACTIVITIES,3
ACT.fandom_collecting.trading_card_collecting,Node;ACTIVITY,ACT.fandom_collecting.trading_card_collecting,Trading Card Collecting,卡牌收藏,ACTIVITY,ACTIVITIES,2
ACT.fandom_collecting.vinyl_record_collecting,Node;ACTIVITY,ACT.fandom_collecting.vinyl_record_collecting,Vinyl Record Collecting,黑胶唱片收藏,ACTIVITY,ACTIVITIES,2
ACT.fandom_collecting.watch_collecting,Node;ACTIVITY,ACT.fandom_collecting.watch_collecting,Watch Collecting,手表收藏,ACTIVITY,ACTIVITIES,2
ACT.gaming,Node;ACTIVITY,ACT.gaming,Gaming,游戏,ACTIVITY,ACTIVITIES,1
ACT.gaming.arcade_gaming,Node;ACTIVITY,ACT.gaming.arcade_gaming,Arcade Gaming,街机游戏,ACTIVITY,ACTIVITIES,2
ACT.gaming.board_gaming,Node;ACTIVITY,ACT.gaming.board_gaming,Board Gaming,桌游,ACTIVITY,ACTIVITIES,2
ACT.gaming.card_gaming,Node;ACTIVITY,ACT.gaming.card_gaming,Card Gaming,卡牌游戏,ACTIVITY,ACTIVITIES,2
ACT.gaming.card_gaming.trading_card_game_play,Node;ACTIVITY,ACT.gaming.card_gaming.trading_card_game_play,Trading Card Game Play,集换式卡牌游戏,ACTIVITY,ACTIVITIES,3
ACT.gaming.escape_rooms,Node;ACTIVITY,ACT.gaming.escape_rooms,Escape Rooms,密室逃脱,ACTIVITY,ACTIVITIES,2
ACT.gaming.esports_spectating,Node;ACTIVITY,ACT.gaming.esports_spectating,Esports Spectating,电竞观赛,ACTIVITY,ACTIVITIES,2
ACT.gaming.game_modding,Node;ACTIVITY,ACT.gaming.game_modding,Game Modding,游戏模组制作,ACTIVITY,ACTIVITIES,2
ACT.gaming.homebrew_game_development,Node;ACTIVITY,ACT.gaming.homebrew_game_development,Homebrew Game Development,独立游戏开发,ACTIVITY,ACTIVITIES,2
ACT.gaming.interactive_fiction,Node;ACTIVITY,ACT.gaming.interactive_fiction,Interactive Fiction,互动小说,ACTIVITY,ACTIVITIES,2
ACT.gaming.lan_parties,Node;ACTIVITY,ACT.gaming.lan_parties,LAN Parties,局域网聚会,ACTIVITY,ACTIVITIES,2
ACT.gaming.larp,Node;ACTIVITY,ACT.gaming.larp,Live Action Role-Playing,实景角色扮演,ACTIVITY,ACTIVITIES,2
ACT.gaming.pinball,Node;ACTIVITY,ACT.gaming.pinball,Pinball,弹球,ACTIVITY,ACTIVITIES,2
ACT.gaming.puzzle_hobby,Node;ACTIVITY,ACT.gaming.puzzle_hobby,Puzzle Hobby,解谜爱好,ACTIVITY,ACTIVITIES,2
ACT.gaming.puzzle_hobby.crossword_puzzles,Node;ACTIVITY,ACT.gaming.puzzle_hobby.crossword_puzzles,Crossword Puzzles,填字游戏,ACTIVITY,ACTIVITIES,3
ACT.gaming.puzzle_hobby.jigsaw_puzzles,Node;ACTIVITY,ACT.gaming.puzzle_hobby.jigsaw_puzzles,Jigsaw Puzzles,拼图,ACTIVITY,ACTIVITIES,3
ACT.gaming.speedrunning,Node;ACTIVITY,ACT.gaming.speedrunning,Speedrunning,速通,ACTIVITY,ACTIVITIES,2
ACT.gaming.tabletop_rpg,Node;ACTIVITY,ACT.gaming.tabletop_rpg,Tabletop Role-Playing,桌面角色扮演,ACTIVITY,ACTIVITIES,2
ACT.gaming.video_gaming,Node;ACTIVITY,ACT.gaming.video_gaming,Video Gaming,电子游戏,ACTIVITY,ACTIVITIES,2
ACT.gaming.video_gaming.console_gaming,Node;ACTIVITY,ACT.gaming.video_gaming.console_gaming,Console Gaming,主机游戏,ACTIVITY,ACTIVITIES,3
ACT.gaming.video_gaming.mobile_gaming,Node;ACTIVITY,ACT.gaming.video_gaming.mobile_gaming,Mobile Gaming,手机游戏,ACTIVITY,ACTIVITIES,3
ACT.gaming.video_gaming.pc_gaming,Node;ACTIVITY,ACT.gaming.video_gaming.pc_gaming,PC Gaming,电脑游戏,ACTIVITY,ACTIVITIES,3
ACT.gaming.video_gaming.retro_gaming,Node;ACTIVITY,ACT.gaming.video_gaming.retro_gaming,Retro Gaming,复古游戏,ACTIVITY,ACTIVITIES,3
ACT.making_craft,Node;ACTIVITY,ACT.making_craft,Making & Craft,手工制作与工艺,ACTIVITY,ACTIVITIES,1
ACT.making_craft.3d_printing,Node;ACTIVITY,ACT.making_craft.3d_printing,3D Printing,3D打印,ACTIVITY,ACTIVITIES,2
ACT.making_craft.blacksmithing_hobby,Node;ACTIVITY,ACT.making_craft.blacksmithing_hobby,Blacksmithing Hobby,业余锻造,ACTIVITY,ACTIVITIES,2
ACT.making_craft.bookbinding,Node;ACTIVITY,ACT.making_craft.bookbinding,Bookbinding,书籍装订,ACTIVITY,ACTIVITIES,2
ACT.making_craft.candle_soap_making,Node;ACTIVITY,ACT.making_craft.candle_soap_making,Candle & Soap Making,蜡烛与手工皂制作,ACTIVITY,ACTIVITIES,2
ACT.making_craft.cosplay_prop_making,Node;ACTIVITY,ACT.making_craft.cosplay_prop_making,Cosplay Prop Making,角色扮演道具制作,ACTIVITY,ACTIVITIES,2
ACT.making_craft.diy_home_improvement,Node;ACTIVITY,ACT.making_craft.diy_home_improvement,DIY & Home Improvement,DIY家居改善,ACTIVITY,ACTIVITIES,2
ACT.making_craft.diy_home_improvement.furniture_restoration,Node;ACTIVITY,ACT.making_craft.diy_home_improvement.furniture_restoration,Furniture Restoration,家具翻新,ACTIVITY,ACTIVITIES,3
ACT.making_craft.embroidery,Node;ACTIVITY,ACT.making_craft.embroidery,Embroidery,刺绣,ACTIVITY,ACTIVITIES,2
ACT.making_craft.embroidery.cross_stitch,Node;ACTIVITY,ACT.making_craft.embroidery.cross_stitch,Cross Stitch,十字绣,ACTIVITY,ACTIVITIES,3
ACT.making_craft.embroidery.needlepoint,Node;ACTIVITY,ACT.making_craft.embroidery.needlepoint,Needlepoint,绒绣,ACTIVITY,ACTIVITIES,3
ACT.making_craft.felting,Node;ACTIVITY,ACT.making_craft.felting,Felting,羊毛毡,ACTIVITY,ACTIVITIES,2
