:START_ID,:END_ID,:TYPE,relation,kind
ACT.creative_hobbies.drawing_painting.digital_painting,ACT.creative_hobbies.drawing_painting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.drawing_painting.oil_painting,ACT.creative_hobbies.drawing_painting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.drawing_painting.sketching,ACT.creative_hobbies.drawing_painting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.drawing_painting.urban_sketching,ACT.creative_hobbies.drawing_painting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.drawing_painting.watercolor_painting,ACT.creative_hobbies.drawing_painting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.fan_art,ACT.creative_hobbies,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.fan_art,ART.visual_arts,OVERLAPS_WITH,OVERLAPS_WITH,explicit
ACT.creative_hobbies.fan_art,ACT.fandom_collecting.fandom,RELATED_TO,RELATED_TO,explicit
ACT.creative_hobbies.fan_fiction,ACT.creative_hobbies,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.fan_fiction,ART.literary_arts,OVERLAPS_WITH,OVERLAPS_WITH,explicit
ACT.creative_hobbies.fan_fiction,ACT.fandom_collecting.fandom,RELATED_TO,RELATED_TO,explicit
ACT.creative_hobbies.graphic_design_hobby,ACT.creative_hobbies,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.journaling,ACT.creative_hobbies,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.music_making,ACT.creative_hobbies,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.music_making,ART.music,OVERLAPS_WITH,OVERLAPS_WITH,explicit
ACT.creative_hobbies.music_making.beatmaking,ACT.creative_hobbies.music_making,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.music_making.electronic_music_production,ACT.creative_hobbies.music_making,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.music_making.home_recording,ACT.creative_hobbies.music_making,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.music_making.songwriting,ACT.creative_hobbies.music_making,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.pixel_art,ACT.creative_hobbies,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.podcasting_hobby,ACT.creative_hobbies,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.podcasting_hobby,OCC.media,RELATED_TO,RELATED_TO,explicit
ACT.creative_hobbies.streaming,ACT.creative_hobbies,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.streaming,OCC.media,RELATED_TO,RELATED_TO,explicit
ACT.creative_hobbies.streaming,ind.media_entertainment,RELATED_TO,RELATED_TO,explicit
ACT.creative_hobbies.streaming.game_streaming,ACT.creative_hobbies.streaming,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.vlogging,ACT.creative_hobbies,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.webcomic_creation,ACT.creative_hobbies,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.webcomic_creation,ART.visual_arts,OVERLAPS_WITH,OVERLAPS_WITH,explicit
ACT.domestic_garden,ACTIVITIES,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.aquarium_keeping,ACT.domestic_garden,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.aquarium_keeping.freshwater_aquarium,ACT.domestic_garden.aquarium_keeping,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.aquarium_keeping.pond_keeping,ACT.domestic_garden.aquarium_keeping,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.aquarium_keeping.reef_keeping,ACT.domestic_garden.aquarium_keeping,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.backyard_poultry,ACT.domestic_garden,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.beekeeping,ACT.domestic_garden,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.beekeeping,OCC.agriculture,RELATED_TO,RELATED_TO,explicit
ACT.domestic_garden.birdwatching,ACT.domestic_garden,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.cheese_making,ACT.domestic_garden,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.coffee_roasting,ACT.domestic_garden,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.composting,ACT.domestic_garden,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.cooking_baking,ACT.domestic_garden,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.cooking_baking.baking,ACT.domestic_garden.cooking_baking,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.cooking_baking.bread_making,ACT.domestic_garden.cooking_baking,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.cooking_baking.grilling_barbecue,ACT.domestic_garden.cooking_baking,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.fermenting,ACT.domestic_garden,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.fermenting.kombucha_brewing,ACT.domestic_garden.fermenting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.foraging,ACT.domestic_garden,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.foraging.mushroom_hunting,ACT.domestic_garden.foraging,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.gardening,ACT.domestic_garden,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.gardening,ind.agriculture,RELATED_TO,RELATED_TO,explicit
ACT.domestic_garden.gardening.container_gardening,ACT.domestic_garden.gardening,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.gardening.flower_gardening,ACT.domestic_garden.gardening,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.herb_gardening,ACT.domestic_garden,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.homebrewing,ACT.domestic_garden,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.homebrewing.beer_brewing,ACT.domestic_garden.homebrewing,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.homebrewing.winemaking,ACT.domestic_garden.homebrewing,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.houseplants,ACT.domestic_garden,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.hydroponics,ACT.domestic_garden,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.pet_keeping,ACT.domestic_garden,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.preserving_canning,ACT.domestic_garden,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.terrarium_vivarium,ACT.domestic_garden,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.vegetable_growing,ACT.domestic_garden,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.vegetable_growing,OCC.agriculture,RELATED_TO,RELATED_TO,explicit
ACT.domestic_garden.vegetable_growing.allotment_gardening,ACT.domestic_garden.vegetable_growing,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.domestic_garden.wine_tasting,ACT.domestic_garden,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports,ACTIVITIES,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports.base_jumping,ACT.extreme_sports,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports.bmx,ACT.extreme_sports,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports.bmx,SPORT.extreme_sports,OVERLAPS_WITH,OVERLAPS_WITH,explicit
ACT.extreme_sports.bungee_jumping,ACT.extreme_sports,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports.cliff_diving,ACT.extreme_sports,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports.dirt_biking,ACT.extreme_sports,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports.freerunning,ACT.extreme_sports,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports.freestyle_skiing,ACT.extreme_sports,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports.hang_gliding,ACT.extreme_sports,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports.inline_skating,ACT.extreme_sports,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports.kitesurfing,ACT.extreme_sports,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports.longboarding,ACT.extreme_sports,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports.motocross,ACT.extreme_sports,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports.motocross,SPORT.extreme_sports,OVERLAPS_WITH,OVERLAPS_WITH,explicit
ACT.extreme_sports.paragliding,ACT.extreme_sports,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports.paramotoring,ACT.extreme_sports,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports.parkour,ACT.extreme_sports,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports.skateboarding,ACT.extreme_sports,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports.skateboarding,SPORT.extreme_sports,OVERLAPS_WITH,OVERLAPS_WITH,explicit
ACT.extreme_sports.skateboarding,OCC.sports,RELATED_TO,RELATED_TO,explicit
ACT.extreme_sports.skydiving,ACT.extreme_sports,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports.snowboarding,ACT.extreme_sports,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports.snowboarding,SPORT.extreme_sports,OVERLAPS_WITH,OVERLAPS_WITH,explicit
ACT.extreme_sports.snowkiting,ACT.extreme_sports,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports.snowmobiling,ACT.extreme_sports,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports.surfing,ACT.extreme_sports,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports.surfing,SPORT.extreme_sports,OVERLAPS_WITH,OVERLAPS_WITH,explicit
ACT.extreme_sports.surfing.bodyboarding,ACT.extreme_sports.surfing,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports.wakeboarding,ACT.extreme_sports,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports.water_skiing,ACT.extreme_sports,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports.windsurfing,ACT.extreme_sports,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports.wingsuit_flying,ACT.extreme_sports,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.extreme_sports.ziplining,ACT.extreme_sports,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting,ACTIVITIES,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.antique_collecting,ACT.fandom_collecting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.art_collecting,ACT.fandom_collecting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.book_collecting,ACT.fandom_collecting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.coin_collecting,ACT.fandom_collecting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.comic_book_collecting,ACT.fandom_collecting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.conventions,ACT.fandom_collecting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.conventions,ind.hospitality_tourism,RELATED_TO,RELATED_TO,explicit
ACT.fandom_collecting.conventions.anime_conventions,ACT.fandom_collecting.conventions,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.conventions.comic_conventions,ACT.fandom_collecting.conventions,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.conventions.sci_fi_conventions,ACT.fandom_collecting.conventions,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.cosplay,ACT.fandom_collecting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.cosplay,OCC.arts,RELATED_TO,RELATED_TO,explicit
ACT.fandom_collecting.cosplay,ACT.making_craft.cosplay_prop_making,RELATED_TO,RELATED_TO,explicit
ACT.fandom_collecting.diecast_model_collecting,ACT.fandom_collecting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.fandom,ACT.fandom_collecting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.fandom.fan_clubs,ACT.fandom_collecting.fandom,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.film_buff,ACT.fandom_collecting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.idol_culture,ACT.fandom_collecting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.memorabilia_collecting,ACT.fandom_collecting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.memorabilia_collecting.autograph_collecting,ACT.fandom_collecting.memorabilia_collecting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.memorabilia_collecting.sports_memorabilia,ACT.fandom_collecting.memorabilia_collecting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.militaria_collecting,ACT.fandom_collecting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.poster_collecting,ACT.fandom_collecting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.rock_mineral_collecting,ACT.fandom_collecting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.sneaker_collecting,ACT.fandom_collecting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.sports_fandom,ACT.fandom_collecting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.stamp_collecting,ACT.fandom_collecting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.toy_collecting,ACT.fandom_collecting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.toy_collecting,ind.retail_trade,RELATED_TO,RELATED_TO,explicit
ACT.fandom_collecting.toy_collecting.action_figure_collecting,ACT.fandom_collecting.toy_collecting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.trading_card_collecting,ACT.fandom_collecting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.vinyl_record_collecting,ACT.fandom_collecting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.fandom_collecting.watch_collecting,ACT.fandom_collecting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.gaming,ACTIVITIES,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.gaming.arcade_gaming,ACT.gaming,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.gaming.board_gaming,ACT.gaming,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.gaming.board_gaming,SPORT.board_games,OVERLAPS_WITH,OVERLAPS_WITH,explicit
ACT.gaming.board_gaming,ART.games,OVERLAPS_WITH,OVERLAPS_WITH,explicit
ACT.gaming.card_gaming,ACT.gaming,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.gaming.card_gaming,SPORT.board_games,RELATED_TO,RELATED_TO,explicit
ACT.gaming.card_gaming.trading_card_game_play,ACT.gaming.card_gaming,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.gaming.escape_rooms,ACT.gaming,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.gaming.esports_spectating,ACT.gaming,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.gaming.esports_spectating,SPORT.esports,OVERLAPS_WITH,OVERLAPS_WITH,explicit
ACT.gaming.game_modding,ACT.gaming,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.gaming.game_modding,HK.computer_science,RELATED_TO,RELATED_TO,explicit
ACT.gaming.game_modding,ACT.online_communities.modding_communities,RELATED_TO,RELATED_TO,explicit
ACT.gaming.homebrew_game_development,ACT.gaming,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.gaming.homebrew_game_development,OCC.it_computing,RELATED_TO,RELATED_TO,explicit
ACT.gaming.interactive_fiction,ACT.gaming,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.gaming.lan_parties,ACT.gaming,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.gaming.larp,ACT.gaming,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.gaming.pinball,ACT.gaming,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.gaming.puzzle_hobby,ACT.gaming,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.gaming.puzzle_hobby.crossword_puzzles,ACT.gaming.puzzle_hobby,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.gaming.puzzle_hobby.jigsaw_puzzles,ACT.gaming.puzzle_hobby,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.gaming.speedrunning,ACT.gaming,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.gaming.speedrunning,SPORT.esports,RELATED_TO,RELATED_TO,explicit
ACT.gaming.tabletop_rpg,ACT.gaming,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.gaming.tabletop_rpg,ART.games,OVERLAPS_WITH,OVERLAPS_WITH,explicit
ACT.gaming.video_gaming,ACT.gaming,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.gaming.video_gaming,SPORT.esports,RELATED_TO,RELATED_TO,explicit
ACT.gaming.video_gaming,ind.media_entertainment,RELATED_TO,RELATED_TO,explicit
ACT.gaming.video_gaming.console_gaming,ACT.gaming.video_gaming,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.gaming.video_gaming.mobile_gaming,ACT.gaming.video_gaming,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.gaming.video_gaming.pc_gaming,ACT.gaming.video_gaming,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.gaming.video_gaming.retro_gaming,ACT.gaming.video_gaming,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft,ACTIVITIES,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.3d_printing,ACT.making_craft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.3d_printing,ind.manufacturing,RELATED_TO,RELATED_TO,explicit
ACT.making_craft.blacksmithing_hobby,ACT.making_craft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.blacksmithing_hobby,OCC.trades,RELATED_TO,RELATED_TO,explicit
ACT.making_craft.bookbinding,ACT.making_craft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.candle_soap_making,ACT.making_craft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.cosplay_prop_making,ACT.making_craft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.diy_home_improvement,ACT.making_craft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.diy_home_improvement,ind.retail_trade,RELATED_TO,RELATED_TO,explicit
ACT.making_craft.diy_home_improvement.furniture_restoration,ACT.making_craft.diy_home_improvement,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.embroidery,ACT.making_craft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.embroidery,ART.craft,OVERLAPS_WITH,OVERLAPS_WITH,explicit
ACT.making_craft.embroidery.cross_stitch,ACT.making_craft.embroidery,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.embroidery.needlepoint,ACT.making_craft.embroidery,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.felting,ACT.making_craft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.jewelry_making,ACT.making_craft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.jewelry_making,ART.craft,OVERLAPS_WITH,OVERLAPS_WITH,explicit
ACT.making_craft.jewelry_making.beadwork,ACT.making_craft.jewelry_making,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.knitting_crochet,ACT.making_craft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.knitting_crochet,ART.craft,OVERLAPS_WITH,OVERLAPS_WITH,explicit
ACT.making_craft.knitting_crochet.crochet,ACT.making_craft.knitting_crochet,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.knitting_crochet.knitting,ACT.making_craft.knitting_crochet,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.leatherworking,ACT.making_craft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.macrame,ACT.making_craft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.miniatures,ACT.making_craft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.miniatures.dollhouse_miniatures,ACT.making_craft.miniatures,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.miniatures.miniature_painting,ACT.making_craft.miniatures,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.model_building,ACT.making_craft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.model_building,ind.retail_trade,RELATED_TO,RELATED_TO,explicit
ACT.making_craft.model_building.diorama_building,ACT.making_craft.model_building,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.model_building.model_aircraft,ACT.making_craft.model_building,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.model_building.model_railroading,ACT.making_craft.model_building,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.model_building.scale_modeling,ACT.making_craft.model_building,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.mosaic_art,ACT.making_craft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.papercraft,ACT.making_craft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.papercraft.card_making,ACT.making_craft.papercraft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.papercraft.scrapbooking,ACT.making_craft.papercraft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.pottery_ceramics,ACT.making_craft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.pottery_ceramics,ART.craft,OVERLAPS_WITH,OVERLAPS_WITH,explicit
ACT.making_craft.pottery_ceramics.hand_building,ACT.making_craft.pottery_ceramics,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.pottery_ceramics.wheel_throwing,ACT.making_craft.pottery_ceramics,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.pyrography,ACT.making_craft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.resin_casting,ACT.making_craft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.sewing_quilting,ACT.making_craft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.sewing_quilting.quilting,ACT.making_craft.sewing_quilting,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.spinning_yarn,ACT.making_craft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.stained_glass,ACT.making_craft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.upcycling,ACT.making_craft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.wargaming,ACT.making_craft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.wargaming,ART.games,RELATED_TO,RELATED_TO,explicit
ACT.making_craft.wargaming,ACT.gaming.board_gaming,RELATED_TO,RELATED_TO,explicit
ACT.making_craft.weaving,ACT.making_craft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.woodworking,ACT.making_craft,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.making_craft.woodworking,ART.craft,OVERLAPS_WITH,OVERLAPS_WITH,explicit
ACT.making_craft.woodworking,OCC.trades,RELATED_TO,RELATED_TO,explicit
ACT.making_craft.woodworking.wood_carving,ACT.making_craft.woodworking,SUBTYPE_OF,SUBTYPE_OF,parent
